ACC,RESP,RT,CorrectAns
1,p,206,p
0,p,142,q
1,p,90,p
0,p,177,q
1,p,125,p
1,p,51,p
0,p,107,q
0,p,127,q
1,p,161,p
0,p,147,q
0,p,101,q
0,p,148,q
1,p,127,p
0,p,13,q
1,p,21,p
1,p,20,p
1,p,21,p
0,p,2,q
0,p,179,q
1,p,30,p
1,p,126,p
1,p,10,p
1,p,14,p
1,p,50,p
1,p,180,p
0,p,65,q
0,p,38,q
0,p,39,q
0,p,46,q
0,p,23,q
1,p,108,p
1,p,18,p
0,p,68,q
0,p,27,q
1,p,58,p
0,p,116,q
0,p,218,q
1,p,48,p
1,p,24,p
0,p,109,q
0,p,120,q
0,p,76,q
1,p,82,p
0,p,94,q
1,p,109,p
0,p,33,q
1,p,121,p
0,p,247,q
1,p,80,p
1,p,90,p
1,p,79,p
0,p,79,q
1,p,96,p
0,p,37,q
0,p,56,q
1,p,4,p
0,p,102,q
0,p,100,q
0,p,48,q
1,p,92,p
0,p,94,q
1,p,107,p
1,p,44,p
1,p,49,p
1,p,199,p
1,p,1,p
0,p,20,q
0,p,7,q
1,p,140,p
0,p,249,q
第一階段答對題數,第二階段答對題數,第三階段答對題數,第四階段答對題數,第五階段答對題數,總答對題數
5,5,5,10,10,35
第一階段得分,第二階段得分,第三階段得分,第四階段得分,第五階段得分,總分
50,50,50,50,50,50
